plain_roman,count,diacritics,urdu,devanagari,meter
tashviish-e,1,tashvīsh-e,تشویشِ,तशवीश-ए,csccvcz
;haalaa;nkih,2,ḥālāñkih,حالانکہ,हालांकि,cvcvncsc<h+wb>
;xi.zr,6,ḳhiẓr,خضر,ख़िज़्र,cscc
jihat,3,jihat,جہت,जिहत,cscsc
mushkii;n,2,mushkīñ,مشکیں,मुशकीं,csccvn
bad-naam,1,bad-nām,بد نام,बद-नाम,cscbcvc
rang-o-saaz'haa,1,rang-o-sāz'hā,رنگ و سازہا,रंग‐ओ‐साज़हा,csccocvcbcv
;xuu;n-;galtiidan-e,1,ḳhūñ-ġhaltīdan-e,خوں غلتیدنِ,ख़ूँ-ग़लतीदन-ए,cvnbcsccvcscz
((araq,1,ʿaraq,عرق,अरक़,cscsc
;xuub-ruuyo;n,1,ḳhūb-rūyoñ,خوب رویوں,ख़ूब-रूयों,cvcbcvcvn
((aalii,2,ʿālī,عالی,आली,cvcv
yak-((ar.sah,1,yak-ʿarṣah,یک عرصہ,यक-अर्सा,cscbcsccsc<h+wb>
pasand,8,pasand,پسند,पसंद,cscscc
mur;g,1,murġh,مرغ,मुर्ग़,cscc
auj,2,auj,اوج,औज,vc
aur,129,aur,اور,और,v<aur>c
;hinaa-e,2,ḥinā-e,حنائے,हिना-ए,cscv<aa+z>z
but-kade,1,but-kade,بت کدے,बुत-कदे,cscbcscv
fur.sat-e,5,furṣat-e,فرصتِ,फ़ुर्सत-ए,csccscz
tapiidah,1,tapīdah,تپیدہ,तपीदा,cscvcsc<h+wb>
furuu((,1,furūʿ,فروع,फ़ुरू,cscvc
tapiidan,1,tapīdan,تپیدن,तपीदन,cscvcsc
khapaataa,1,khapātā,کھپاتا,खपाता,cscvcv
khaayaa,1,khāyā,کھایا,खाया,cvcv
sitam-diidah-e,1,sitam-dīdah-e,ستم دیدۂ,सितम-दीदा-ए,cscscbcvcscz
a((:zam,1,aʿz̤am,اعظم,आज़म,sccsc
phirtii,1,phirtī,پھرتی,फिरती,csccv
baa;ndhte,15,bāñdhte,باندھتے,बांधते,cvnccv
;hiile,1,ḥīle,حیلے,हीले,cvcv
saa((at,1,sāʿat,ساعت,साअत,cvcsc
((umr,16,ʿumr,عمر,उम्र,cscc
qadam-bos,1,qadam-bos,قدم بوس,क़दम-बोस,cscscbcvc
zabaa;n,10,zabāñ,زباں,ज़बाँ,cscvn
majnuun-e,1,majnūn-e,مجنونِ,मजनून-ए,csccvcz
;hu.zuur,3,ḥuẓūr,حضور,हुज़ूर,cscvc
((ar.sah-e,1,ʿarṣah-e,عرصۂ,अर्सा-ए,csccscz
mai-;xaanah-e,3,mai-ḳhānah-e,مے خانۂ,मै-ख़ाना-ए,cvbcvcscz
jafaa))e;n,1,jafāʾeñ,جفائیں,जफ़ाएँ,cscvcvn
zabaan-e,5,zabān-e,زبانِ,ज़बान-ए,cscvcz
pa;rii,4,paṛī,پڑی,पड़ी,cscv
;xaanah-viiraa;n-saazii-e,1,ḳhānah-vīrāñ-sāzī-e,خانہ ویراں سازیِ,ख़ाना-वीराँ-साज़ी-ए,cvcsc<h+wb>bcvcvnbcvcv<ii+z>z
idhar,5,idhar,ادھر,इधर,scsc
maatam-;xaanah,1,mātam-ḳhānah,ماتم خانہ,मातम-ख़ाना,cvcscbcvcsc<h+wb>
dashnah-e,2,dashnah-e,دشنۂ,दश्ना-ए,csccscz
